reviewText,rating,summary,review_sentiment,summary_sentiment,hallucination,hal_score
These jeans fit verywell and are tight In all the right places and give just enough to not rub anywhere or ever be uncomfortable. Need a pair of nice white Jeans for an event these are priced right and fit very well.,5,Wear em In Comfort,POSITIVE,POSITIVE,neutral,0.6952296495437622
"If I had wanted blue burlap sack, I would have looked for it. Levi now thinks they can flog off any material on their customer. The last time I ordered these levis I got something in stripes that looked like I was escaped from prison. Now it is burlap! I will never order anything from Levi again until they come back to the original levi material. What complete junk. This product sucks.",1,New material,NEGATIVE,POSITIVE,entailment,0.6142341494560242
"Although advertised as pre-shrunk, these continue to shrink drastically, and the wrinkles are hideous.  Got two different colors, same results.  Ordered the 517's as well, and they stayed true to fit without the wrinkles.",1,Other Levi choices are better,NEGATIVE,NEGATIVE,neutral,0.9884142875671387
"I normally don't do reviews, but this time I have something helpful to say so I thought I'd share it.  The Verde Rigid is actually a Shrink to Fit jean and is not ""Pre Shrunk"" like it says here on Amazon. I bought my normal size, 30x30, washed it gentle cycle in cold water and dried in low heat. It came out super shrunk!!

Then I looked online and found this:

Made with rigid denim that you wash to a perfect fit and finish. Keep it dark and clean by washing as little as possible, or fade it with gentle washing. Will shrink approximately 10 percent; size up 1"" if waist is between 27""- 36"", size up 2"" if waist is between 38""- 48"". Increase length by 3"".

But since I am really a 30x30 and they don't make 31x33, I debated whether I should go 31x32 or 31x34. They also said somewhere if you wear boots, add an extra inch, so it would be 31x34. I don't wear boots and I wear these jeans when I ride my bike, so I decided to get 31x32. I hope they turn out cool.

Oh also, I called Amazon, and they were totally cool with it and issued me a full refund although I washed the jeans and it shrunk like crazy. They need to move this to the Shrink to Fit section.

Also, even though these jeans shrunk like crazy, they still kinda fit although they are kinda short in the inseam. They fit kinda tight, but the quality is great! They are super rigid and durable, I've never had a pair of jeans like this! I read somewhere that when you get your jeans, you should shrink them by taking off the tags, putting them on, and getting into a bathtub full of hot/cold water (depending on color of jeans and extent of fade you want). You sit there for about 30 minutes and when you get out, the water should be all blue and you will have a custom fitting jean! I will try that on my next pair instead of throwing them into the washer and dryer. Because I left them in the dryer for 2 days, they came out super wrinkly and they stay that way!! It's better for them to conform to your legs than all your other clothes in your dryer!",5,"5 Star Quality, but these are Shrink to Fit!! (Verde Rigid)",NEGATIVE,NEGATIVE,neutral,0.45375770330429077
"I've been frustrated for the last several years because it's gotten so hard to buy plain ordinary jeans for women. They're all full of fashionable features: superfluous zippers, patches, gussets, grommets, decorative stitching, little drifts of glued-on rhinestones. But at the same time, they're lacking some obvious things: belt loops, or a pocket big enough to actually hold your keys and some change. They don't come in regular blue or black; they all have weird faded patches which have been applied in special factories at enormous expense. And nearly all of them are unflatteringly, ankle-chillingly, hideously, four inches or so too short. I began to wonder if perhaps there might be some sort of vast international trouser conspiracy, run by sadistic clothing designers who sit in dimly-lit rooms waving swatches of fabric and cackling maniacally.

It finally occurred to me to try the obvious, and check out the men's department instead. I'm overjoyed to discover that men's standard Levi's 501s fit me just fine, and look the way I expect jeans to look. They have pockets, and belt loops big enough to fit a normal belt, and legs that reach all the way down to my shoes. Hooray.",5,The quintessence of pants,NEGATIVE,POSITIVE,neutral,0.8698877692222595
Excellent one from Levi's,5,Summer jeans,POSITIVE,POSITIVE,neutral,0.8624172806739807
"an oldie, but goodie.  They always fit the same.  Just what you wanted.",5,good old standard,POSITIVE,POSITIVE,neutral,0.5974869728088379
"These pants seem to be a bad copy of Levi's
Bad seams
Estos pantalones parecen ser una mala copia de Levi's
Mal acabados en general, malas costuras",1,Bad pants,NEGATIVE,NEGATIVE,neutral,0.6583864688873291
I liked very much the fibres and the way this jeans fit on me. the are for hard work and also neat look.,5,Best  jeans ever,POSITIVE,POSITIVE,neutral,0.9771174192428589
I bought a pair of these jeans from this seller a few weeks ago and am extremely happy. First off they are the only ones that offer some of the more rare finishes for this particular jean. For example the iconic rigid and new metal colors are extremely hard to find and they look extremely great. I picked a pair of both of these colors and got them for a great deal. And fast shipping too! These jeans are a must have for any classic levis 501 fan.,5,Classic Levis 501 Jeans,POSITIVE,NEGATIVE,neutral,0.5440201759338379
"Great fit for 5""9, 220 lbs",5,Five Stars,POSITIVE,POSITIVE,neutral,0.8556153774261475
Just like I remember,5,Five Stars,POSITIVE,POSITIVE,neutral,0.9516094923019409
Belt loop broke off after wearing once!!!!,1,One Star,NEGATIVE,NEGATIVE,contradiction,0.6587728261947632
I love levis 501s. I wish that there was an option on getting lega that aren't as wide. Levis are not easy for me to find in stores.,4,I love levis 501s,NEGATIVE,POSITIVE,entailment,0.9544588327407837
"on time, and as advertised, would use again",5,Five Stars,NEGATIVE,POSITIVE,neutral,0.9682613611221313
fit as listed,4,Four Stars,POSITIVE,POSITIVE,neutral,0.771270215511322
Great product at a reasonable price,5,Five Stars,POSITIVE,POSITIVE,neutral,0.9751914739608765
Don't like the way this material looks ! I feel as though it's to hard to buy these o. Line because when they get here there not like the ones I get a sears and other places!,1,Better to go to store to be able to see what the material is really going to be like .,NEGATIVE,NEGATIVE,neutral,0.9793815016746521
Everything is great!,5,Five Stars,POSITIVE,POSITIVE,neutral,0.8406856060028076
Very nice jeans.,5,Five Stars,POSITIVE,POSITIVE,neutral,0.8083508014678955
Levi's button fly fits the same as they did 30 years ago same quality been wearing Levi's jeans for 40 years,5,Quality wearability durability,POSITIVE,NEGATIVE,entailment,0.6151952743530273
"fit great, no bagging.",5,Five Stars,POSITIVE,POSITIVE,neutral,0.9646027684211731
The 29 wait was more like a 30. Not happy,1,One Star,NEGATIVE,NEGATIVE,neutral,0.5607864260673523
"Always worn levi,s. Bring it back to, united states to fit.shrinks while from shipping from the line..bring back the 529 also..",1,"Always worn levi, s. Bring it back to ...",NEGATIVE,NEGATIVE,entailment,0.8288255333900452
Nice fit,5,Five Stars,POSITIVE,POSITIVE,neutral,0.9046193957328796
Original 501 - always the best. Lasts for years.,5,Fantastic jeans,POSITIVE,POSITIVE,neutral,0.8436164259910583
"My husband loves these jeans.  They are button fly, so just be aware of that when you purchase.",5,Five Stars,POSITIVE,POSITIVE,neutral,0.9370939135551453
"I like Levis, and I got what I ordered and it was delivered on time at a good price.",5,"I like Levis, and I got what I ordered and ...",POSITIVE,POSITIVE,entailment,0.9768845438957214
Love them.,5,Great fitting jeans,POSITIVE,POSITIVE,neutral,0.9540852904319763
Pants fit as expected.  Standard quality Levis.,5,Fast shipping,POSITIVE,POSITIVE,neutral,0.9731349349021912
"Not too tight, nice fit, I'm 5'9"", 185, have a comfortable fit, rugged jean.",5,Good Fit and Quality,NEGATIVE,POSITIVE,entailment,0.5814832448959351
Same fit and style year after year. Makes for a happy husband.,5,Makes for a happy husband.,POSITIVE,POSITIVE,neutral,0.5731432437896729
The right items shipped n perfect,5,The size n color,POSITIVE,POSITIVE,neutral,0.8570712208747864
"it is very long, about 4 cm !",3,Three Stars,NEGATIVE,POSITIVE,neutral,0.5649580359458923
"Fit great..  BUT ..  The crotch ripped down the inner leg seam , I have had the Levis for just 3 months.  Very disappointed and dissatisfied!!",1,Fit great.. BUT,NEGATIVE,POSITIVE,neutral,0.6867813467979431
a,3,a,POSITIVE,POSITIVE,neutral,0.4151661992073059
Levi's is Levi's. Excellent brand,5,Excellent,POSITIVE,POSITIVE,neutral,0.6867373585700989
As expected.,5,Typical Levis,NEGATIVE,NEGATIVE,neutral,0.9422318339347839
Pants came a little rip and it came with a bad smell I wash them twice and smell is going away.,1,... came a little rip and it came with a bad smell I wash them twice and smell is going ...,NEGATIVE,NEGATIVE,entailment,0.9668267965316772
Perfect,5,Five Stars,POSITIVE,POSITIVE,neutral,0.8463523983955383
Quality perfect fit,5,Five Stars,POSITIVE,POSITIVE,neutral,0.8884528279304504
Fits perfectly and cane when expected,5,Five Stars,POSITIVE,POSITIVE,neutral,0.901168704032898
"Bought the Levi's 505 and had poor quality in every way, not sure why but returned to Costco and ordered 2 pairs of good old fashion Levi's 501's and the quality is just what I expected and just what I remembered from buying then since the 1970's. Nice to have good size range and found my rare short leg size of inseam size of 28-29. Fair price vs retail. Happy with purchase",5,Stick with quality 501's vs the 505's!,POSITIVE,NEGATIVE,neutral,0.7926462888717651
...button fly...,3,... button fly...,NEGATIVE,NEGATIVE,neutral,0.49509963393211365
I love me some Levis but when you wash them and one pant leg starts twisting as it nears your ankles and the side seam is facing the front it an unpleasant fashion flaw. Can I exchange them for a new pair???,1,I love me some Levis but when you wash them and ...,NEGATIVE,POSITIVE,entailment,0.8225971460342407
Good,5,Five Stars,POSITIVE,POSITIVE,neutral,0.8301262259483337
They fit like they did when I was wear8ng them 23years ago.,5,Five Stars,POSITIVE,POSITIVE,neutral,0.943099319934845
"They sized about one size small, which is uncomfortable. I'm going to order and other pair a size up and they should be fine.",3,fits one size small but look great and excellent quality,POSITIVE,POSITIVE,neutral,0.7582300901412964
"Im not happy at all, these so-called Levis are ridiculously light weight. I can see through the jeans and limited fabrics. I see the holes where the tags were punched through. Now I have to waste time returning which irritates me big time! There should be consequences for this type of nonsense for the crooks that allow this trying to ripoff customers. How about just giving me the item I chose & paid for!",1,Stop the nonsense!,NEGATIVE,NEGATIVE,neutral,0.8861580491065979
"Chinese crap.  NOTHING like the quality you expect from Levis.

Inside waist hem is raised and VERY rough (literally:  SHARP) and injures skin if you don't have a shirt tucked in (and even then...).

Belt loops broke about the third time I wore them.",1,Levi Strauss is spinning in his grave.,NEGATIVE,NEGATIVE,neutral,0.8176627159118652
They fit exactly like they should.,5,My trusty 501's,POSITIVE,POSITIVE,neutral,0.9378056526184082
OK,4,Four Stars,POSITIVE,POSITIVE,neutral,0.7726549506187439
These pants seemed different then most Levis. Not true to size .,1,One Star,NEGATIVE,NEGATIVE,neutral,0.6745026707649231
I buy Levi's because I like the brand but it seems like I can buy two pair one fits and the other doesn't. And what I mean by doesn't is at a half a size too big or too small so it falls off or you can't button it. I just wish there was more consistency!,3,I buy Levi's because I like the brand but it seems like I can buy ...,NEGATIVE,POSITIVE,entailment,0.9719629883766174
